Date,Page,Pos title count,Neu title count,Neg title count,Pos content count,Neu content count,Neg content count,Title proportion pos,Title proportion neu,Title proportion neg,Content proportion pos,Content proportion neu,Content proportion neg
2022-01-10,539,0,0,0,0,0,0,,,,,,
2022-01-11,213,0,0,0,0,0,0,,,,,,
2022-01-12,819,0,0,0,0,0,0,,,,,,
2022-01-13,7090,0,0,0,0,0,0,,,,,,
2022-01-14,13422,0,0,0,0,0,0,,,,,,
2022-01-16,2820,0,0,0,0,0,0,,,,,,
2022-01-17,5637,0,0,0,0,0,0,,,,,,
2022-01-18,11954,0,0,0,0,0,0,,,,,,
2022-01-19,11219,0,0,0,0,0,0,,,,,,
2022-01-20,12589,0,0,0,0,0,0,,,,,,
2022-01-21,13943,0,0,0,0,0,0,,,,,,
2022-01-22,695,0,0,0,0,0,0,,,,,,
2022-01-23,2780,0,0,0,0,0,0,,,,,,
2022-01-24,18024,0,0,0,0,0,0,,,,,,
2022-01-25,18637,0,0,0,0,0,0,,,,,,
2022-01-26,14442,0,0,0,0,0,0,,,,,,
2022-01-27,13707,0,0,0,0,0,0,,,,,,
2022-01-28,17073,0,0,0,0,0,0,,,,,,
2022-01-29,2043,0,0,0,0,0,0,,,,,,
2022-01-30,2043,0,0,0,0,0,0,,,,,,
2022-01-31,10201,0,0,0,0,0,0,,,,,,
2022-02-02,2025,0,0,0,0,0,0,,,,,,
2022-02-03,1882,0,0,0,0,0,0,,,,,,
2022-02-05,2085,0,0,0,0,0,0,,,,,,
2022-02-06,3265,0,0,0,0,0,0,,,,,,
2022-02-09,638,0,0,0,0,0,0,,,,,,
2022-02-11,211,0,0,0,0,0,0,,,,,,
2022-02-12,811,0,0,0,0,0,0,,,,,,
2022-02-13,1974,0,0,0,0,0,0,,,,,,
2022-02-14,9850,0,0,0,0,0,0,,,,,,
2022-02-15,11783,0,0,0,0,0,0,,,,,,
2022-02-16,9783,0,0,0,0,0,0,,,,,,
2022-02-17,15593,0,0,0,0,0,0,,,,,,
2022-02-18,10359,0,0,0,0,0,0,,,,,,
2022-02-21,1290,0,0,0,0,0,0,,,,,,
2022-02-22,9023,0,0,0,0,0,0,,,,,,
2022-02-23,14107,0,0,0,0,0,0,,,,,,
2022-02-24,13411,0,0,0,0,0,0,,,,,,
2022-02-25,6356,0,0,0,0,0,0,,,,,,
2022-02-26,3807,0,0,0,0,0,0,,,,,,
2022-02-27,1268,0,0,0,0,0,0,,,,,,
2022-02-28,13922,0,0,0,0,0,0,,,,,,
2022-03-01,2911,0,0,0,0,0,0,,,,,,
2022-03-02,674,0,0,0,0,0,0,,,,,,
2022-03-03,1251,0,0,0,0,0,0,,,,,,
2022-03-05,1557,0,0,0,0,0,0,,,,,,
2022-03-06,3245,0,0,0,0,0,0,,,,,,
2022-03-08,2215,0,0,0,0,0,0,,,,,,
2022-03-09,318,0,0,0,0,0,0,,,,,,
2022-03-10,268,0,0,0,0,0,0,,,,,,
2022-03-11,828,0,0,0,0,0,0,,,,,,
2022-03-12,162,0,0,0,0,0,0,,,,,,
2022-03-13,1829,0,0,0,0,0,0,,,,,,
2022-03-14,8518,0,0,0,0,0,0,,,,,,
2022-03-15,8479,0,0,0,0,0,0,,,,,,
2022-03-16,11476,0,0,0,0,0,0,,,,,,
2022-03-17,10232,0,0,0,0,0,0,,,,,,
2022-03-18,4800,0,0,0,0,0,0,,,,,,
2022-03-20,1198,0,0,0,0,0,0,,,,,,
2022-03-21,13152,0,0,0,0,0,0,,,,,,
2022-03-22,14855,0,0,0,0,0,0,,,,,,
2022-03-23,13604,0,0,0,0,0,0,,,,,,
2022-03-24,14715,0,0,0,0,0,0,,,,,,
2022-03-25,11718,0,0,0,0,0,0,,,,,,
2022-03-26,2336,0,0,0,0,0,0,,,,,,
2022-03-27,2334,0,0,0,0,0,0,,,,,,
2022-03-28,11641,0,0,0,0,0,0,,,,,,
2022-03-29,12174,0,0,0,0,0,0,,,,,,
2022-03-30,8072,0,0,0,0,0,0,,,,,,
2022-03-31,12069,0,0,0,0,0,0,,,,,,
2022-04-01,2905,0,0,0,0,0,0,,,,,,
2022-04-02,5372,0,0,0,0,0,0,,,,,,
2022-04-03,623,0,0,0,0,0,0,,,,,,
2022-04-04,2279,0,0,0,0,0,0,,,,,,
2022-04-05,4647,0,0,0,0,0,0,,,,,,
2022-04-08,731,0,0,0,0,0,0,,,,,,
2022-04-10,1062,0,0,0,0,0,0,,,,,,
2022-04-11,205,0,0,0,0,0,0,,,,,,
2022-04-12,162,0,0,0,0,0,0,,,,,,
2022-04-13,11609,0,0,0,0,0,0,,,,,,
2022-04-14,9361,0,0,0,0,0,0,,,,,,
2022-04-15,2745,0,0,0,0,0,0,,,,,,
2022-04-17,1098,0,0,0,0,0,0,,,,,,
2022-04-18,6578,0,0,0,0,0,0,,,,,,
2022-04-19,6004,0,0,0,0,0,0,,,,,,
2022-04-20,13597,0,0,0,0,0,0,,,,,,
2022-04-21,11906,0,0,0,0,0,0,,,,,,
2022-04-22,1080,0,0,0,0,0,0,,,,,,
2022-04-24,537,0,0,0,0,0,0,,,,,,
2022-04-25,13400,0,0,0,0,0,0,,,,,,
2022-04-26,13864,0,0,0,0,0,0,,,,,,
2022-04-27,16435,0,0,0,0,0,0,,,,,,
2022-04-28,15807,0,0,0,0,0,0,,,,,,
2022-04-29,11531,0,0,0,0,0,0,,,,,,
2022-05-01,2896,0,0,0,0,0,0,,,,,,
2022-05-03,622,0,0,0,0,0,0,,,,,,
2022-05-04,1133,0,0,0,0,0,0,,,,,,
2022-05-05,3084,0,0,0,0,0,0,,,,,,
2022-05-08,1457,0,0,0,0,0,0,,,,,,
2022-05-10,792,0,0,0,0,0,0,,,,,,
2022-05-12,159,0,0,0,0,0,0,,,,,,
2022-05-13,4970,0,0,0,0,0,0,,,,,,
2022-05-15,990,0,0,0,0,0,0,,,,,,
2022-05-16,15790,0,0,0,0,0,0,,,,,,
2022-05-17,6870,0,0,0,0,0,0,,,,,,
2022-05-18,8787,0,0,0,0,0,0,,,,,,
2022-05-19,6312,0,0,0,0,0,0,,,,,,
2022-05-20,4837,0,0,0,0,0,0,,,,,,
2022-05-21,483,0,0,0,0,0,0,,,,,,
2022-05-22,966,0,0,0,0,0,0,,,,,,
2022-05-23,4341,0,0,0,0,0,0,,,,,,
2022-05-24,10067,0,0,0,0,0,0,,,,,,
2022-05-25,5245,0,0,0,0,0,0,,,,,,
2022-05-26,5224,0,0,0,0,0,0,,,,,,
2022-05-27,7095,0,0,0,0,0,0,,,,,,
2022-05-29,1416,0,0,0,0,0,0,,,,,,
2022-05-30,2359,0,0,0,0,0,0,,,,,,
2022-05-31,4706,0,0,0,0,0,0,,,,,,
2022-06-01,3607,0,0,0,0,0,0,,,,,,
2022-06-02,670,0,0,0,0,0,0,,,,,,
2022-06-04,2260,0,0,0,0,0,0,,,,,,
2022-06-05,2045,0,0,0,0,0,0,,,,,,
2022-06-06,1847,0,0,0,0,0,0,,,,,,
2022-06-07,1651,0,0,0,0,0,0,,,,,,
2022-06-09,1579,0,0,0,0,0,0,,,,,,
2022-06-10,1573,0,0,0,0,0,0,,,,,,
2022-06-12,939,0,0,0,0,0,0,,,,,,
2022-06-13,6726,0,0,0,0,0,0,,,,,,
2022-06-14,7144,0,0,0,0,0,0,,,,,,
2022-06-15,886,0,0,0,0,0,0,,,,,,
2022-06-16,7080,0,0,0,0,0,0,,,,,,
2022-06-17,884,0,0,0,0,0,0,,,,,,
2022-06-19,880,0,0,0,0,0,0,,,,,,
2022-06-20,2640,0,0,0,0,0,0,,,,,,
2022-06-21,5268,0,0,0,0,0,0,,,,,,
2022-06-22,13507,0,0,0,0,0,0,,,,,,
2022-06-23,7795,0,0,0,0,0,0,,,,,,
2022-06-24,3878,0,0,0,0,0,0,,,,,,
2022-06-25,430,0,0,0,0,0,0,,,,,,
2022-06-26,860,0,0,0,0,0,0,,,,,,
2022-06-27,6005,0,0,0,0,0,0,,,,,,
2022-06-28,11519,0,0,0,0,0,0,,,,,,
2022-06-29,8058,0,0,0,0,0,0,,,,,,
2022-06-30,9281,0,0,0,0,0,0,,,,,,
2022-07-01,2877,0,0,0,0,0,0,,,,,,
2022-07-02,2007,0,0,0,0,0,0,,,,,,
2022-07-03,3725,0,0,0,0,0,0,,,,,,
