date,Tweet count,Retweet count,Like count,Avg VADER Neg,Avg VADER Neu,Avg VADER Pos,Avg VADER Comp,Avg VADER Score,FinBert Pos count,FinBert Neu count,FinBert Neg count,FinBert proportion Pos,FinBert proportion Neu,FinBert proportion Neg
14/5/2021,369,375,2168,17.535,320.328,31.138,57.7929,-35222.3986,21,335,13,0.056910569,0.907859079,0.035230352
15/5/2021,332,145,1364,14.931,290.405,26.661,55.9053,159891.0245,9,310,13,0.027108434,0.93373494,0.039156627
16/5/2021,606,1026,6886,36.528,520.233,49.229,62.3869,1061344.642,30,551,25,0.04950495,0.909240924,0.041254125
17/5/2021,923,1632,9994,56.25,785.083,81.68,107.7134,-204382.3824,69,803,51,0.07475623,0.869989166,0.055254605
18/5/2021,495,534,4206,21.783,427.939,45.279,105.2152,3202064.382,31,458,6,0.062626263,0.925252525,0.012121212
19/5/2021,895,907,6865,52.255,774.826,67.925,75.3088,7466881.419,48,810,37,0.053631285,0.905027933,0.041340782
20/5/2021,589,1369,7276,29.706,512.964,46.317,69.9345,3647678.027,38,535,16,0.064516129,0.908319185,0.027164686
21/5/2021,491,1736,9977,25.68,428.578,36.746,53.4274,2525649.313,33,435,23,0.067209776,0.885947047,0.046843177
22/5/2021,424,560,3898,19.318,371.612,33.065,56.5443,5668.4605,31,377,16,0.073113208,0.889150943,0.037735849
23/5/2021,499,506,3959,29.16,435.281,34.561,26.2747,247325.6678,33,443,23,0.066132265,0.887775551,0.046092184
24/5/2021,502,514,6069,24.314,439.935,37.738,60.8354,781612.2891,32,461,9,0.06374502,0.918326693,0.017928287
25/5/2021,423,234,1989,23.12,370.275,29.597,30.1788,1013739.412,16,388,19,0.037825059,0.917257683,0.044917258
26/5/2021,380,738,4024,16.38,338.579,25.041,42.4359,1436840.903,27,345,8,0.071052632,0.907894737,0.021052632
27/5/2021,302,197,1308,10.809,271.023,20.171,42.6306,537067.5181,18,273,11,0.059602649,0.90397351,0.036423841
28/5/2021,351,269,1640,16.47,307.075,27.459,50.6529,710543.4556,12,333,6,0.034188034,0.948717949,0.017094017
29/5/2021,350,388,2772,16.518,305.612,27.87,50.7631,1198075.337,20,319,11,0.057142857,0.911428571,0.031428571
30/5/2021,321,387,1953,14.8,283.44,22.768,33.847,220715.9577,10,305,6,0.031152648,0.950155763,0.018691589
31/5/2021,319,290,1677,13.954,282.514,22.533,32.0478,39491.1922,22,286,11,0.068965517,0.896551724,0.034482759
1/6/2021,301,327,2423,12.156,266.377,22.465,48.8131,384228.0029,25,262,14,0.083056478,0.870431894,0.046511628
2/6/2021,314,420,2370,12.357,276.906,24.744,59.7719,472921.8055,27,280,7,0.085987261,0.891719745,0.022292994
3/6/2021,302,320,2055,9.752,270.145,22.094,49.7539,530623.1863,18,278,6,0.059602649,0.920529801,0.01986755
4/6/2021,483,410,3261,27.314,416.458,39.229,49.4812,555817.0269,14,459,10,0.028985507,0.950310559,0.020703934
5/6/2021,461,611,5153,23.767,401.348,35.893,51.2708,-138575.45,32,411,18,0.069414317,0.89154013,0.039045553
6/6/2021,438,726,4784,22.451,379.649,35.902,63.8421,1679133.755,28,397,13,0.063926941,0.906392694,0.029680365
7/6/2021,422,423,2891,21.488,369.356,31.167,45.282,-316883.689,21,389,12,0.049763033,0.921800948,0.028436019
8/6/2021,593,2240,12302,31.592,514.175,47.226,73.7979,2400966.778,31,541,21,0.05227656,0.912310287,0.035413153
9/6/2021,576,846,5722,26.24,498.619,51.129,109.4387,2837386.763,49,509,18,0.085069444,0.883680556,0.03125
10/6/2021,436,488,2106,23.013,377.44,35.544,58.4426,1525976.231,36,387,13,0.082568807,0.887614679,0.029816514
11/6/2021,379,473,3157,14.676,334.866,29.458,64.8723,-677725.6327,26,345,8,0.068601583,0.910290237,0.021108179
12/6/2021,293,132,1794,9.959,261.121,21.925,49.8134,552456.486,18,263,12,0.061433447,0.897610922,0.040955631
13/6/2021,371,454,4442,16.62,325.492,28.884,56.7625,-3092773.055,27,332,12,0.07277628,0.894878706,0.032345013
14/6/2021,398,435,2445,17.351,350.901,29.747,55.903,531019.1512,24,362,12,0.060301508,0.909547739,0.030150754
15/6/2021,320,241,1445,13.708,284.627,21.654,40.2803,158748.9782,15,297,8,0.046875,0.928125,0.025
16/6/2021,319,477,2119,13.119,278.741,27.145,61.6244,2046525.002,17,291,11,0.053291536,0.912225705,0.034482759
17/6/2021,348,332,2516,15.157,304.982,27.854,56.5062,1947639.695,18,317,13,0.051724138,0.91091954,0.037356322
18/6/2021,308,1670,2387,13.339,271.333,23.333,46.5878,814564.9347,14,284,10,0.045454545,0.922077922,0.032467532
19/6/2021,289,138,1009,11.038,257.561,20.393,44.9753,315124.4433,20,266,3,0.069204152,0.920415225,0.010380623
20/6/2021,333,236,2249,15.234,294.223,23.543,36.2332,-686038.7092,17,306,10,0.051051051,0.918918919,0.03003003
21/6/2021,471,343,2917,28.043,409.579,33.382,35.2107,290927.6777,29,415,27,0.061571125,0.881104034,0.057324841
22/6/2021,492,416,2726,27.24,428.194,36.552,52.0707,615897.8933,34,447,11,0.069105691,0.908536585,0.022357724
23/6/2021,338,451,4469,15.436,298.353,24.206,45.8429,655310.7721,19,311,8,0.056213018,0.920118343,0.023668639
24/6/2021,293,132,1089,12.891,260.339,19.768,36.1947,519598.5158,15,269,9,0.051194539,0.918088737,0.030716724
25/6/2021,376,259,1649,16.014,330.295,29.693,68.2165,411016.9874,16,351,9,0.042553191,0.933510638,0.02393617
26/6/2021,319,162,1063,15.144,282.797,21.056,34.2375,324599.9529,10,295,14,0.031347962,0.92476489,0.043887147
27/6/2021,301,109,1061,12.03,269.475,19.494,38.0788,701390.2415,18,278,5,0.059800664,0.92358804,0.016611296
28/6/2021,321,397,1904,12.928,282.896,25.173,56.537,1671781.789,19,297,5,0.059190031,0.925233645,0.015576324
29/6/2021,304,188,1387,12.127,267.888,23.989,60.0053,606573.8718,12,280,12,0.039473684,0.921052632,0.039473684
30/6/2021,278,164,1578,11.397,248.061,18.545,28.7472,357916.2509,14,254,10,0.050359712,0.913669065,0.035971223
1/7/2021,305,156,1184,10.666,272.497,21.835,48.5427,-58055.4494,15,282,8,0.049180328,0.924590164,0.026229508
2/7/2021,310,363,2122,15.929,273.314,20.759,27.3978,380469.8485,10,293,7,0.032258065,0.94516129,0.022580645
3/7/2021,234,69,925,12.21,202.574,19.214,37.002,299351.5636,13,213,8,0.055555556,0.91025641,0.034188034
4/7/2021,219,53,536,8.319,195.286,15.393,38.6875,211133.5413,10,206,3,0.0456621,0.940639269,0.01369863
5/7/2021,242,72,643,10.418,215.89,15.69,28.2151,58237.06,12,222,8,0.049586777,0.917355372,0.033057851
6/7/2021,279,207,2029,13.64,243.26,22.101,40.4906,1407969.477,16,256,7,0.05734767,0.917562724,0.025089606
7/7/2021,238,329,2790,9.63,208.753,19.616,40.7632,2012978.775,16,216,6,0.067226891,0.907563025,0.025210084
8/7/2021,290,240,1580,13.493,256.371,20.137,29.5807,240007.7977,10,271,9,0.034482759,0.934482759,0.031034483
9/7/2021,273,502,2084,10.563,242.795,19.637,43.2123,-200945.6322,16,255,2,0.058608059,0.934065934,0.007326007
10/7/2021,220,93,517,6.931,197.479,15.592,36.733,328639.1616,9,209,2,0.040909091,0.95,0.009090909
11/7/2021,223,1700,3670,10.163,198.395,14.444,23.548,4043958.22,13,205,5,0.058295964,0.919282511,0.022421525
12/7/2021,244,137,843,11.85,216.63,15.521,18.8936,89198.0704,10,222,12,0.040983607,0.909836066,0.049180328
